File,param_LDA__solver,params,mean_test_score,std_test_score
D3S08I_S01_NF4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6791666666666667,0.10549157417643469
D3S03I_S01_NF2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7354166666666667,0.10165727415629876
D3S03I_S01_NF2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7354166666666667,0.10165727415629876
D3S03I_S01_NF2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7354166666666667,0.10165727415629876
D3S05I_S01_FI2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.6791666666666667,0.11380416903123053
D3S05I_S01_FI2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6791666666666667,0.11380416903123053
D3S05I_S01_FI2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6791666666666667,0.11380416903123053
D3S05I_S01_FI4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.6666666666666666,0.11448859720028405
D3S05I_S01_FI4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6666666666666666,0.11448859720028405
D3S05I_S01_FI4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6666666666666666,0.11448859720028405
D3S06I_S01_NF4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7125,0.09213893494789992
D3S06I_S01_NF4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7125,0.09213893494789992
D3S06I_S01_NF4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7125,0.09213893494789992
D3S09I_S01_FI2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.76875,0.11427990126585398
D3S09I_S01_FI2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.76875,0.11427990126585398
D3S09I_S01_FI2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.76875,0.11427990126585398
D3S12I_S01_FI2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.6125,0.12011279421166314
D3S12I_S01_FI2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6125,0.12011279421166314
D3S12I_S01_FI2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6125,0.12011279421166314
D3S09I_S01_NF4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7354166666666667,0.11488596399135198
D3S09I_S01_NF4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7354166666666667,0.11488596399135198
D3S09I_S01_NF4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7354166666666667,0.11488596399135198
D3S03I_S01_NF4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.8145833333333333,0.09879921417816145
D3S03I_S01_NF4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.8145833333333333,0.09879921417816145
D3S03I_S01_NF4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.8145833333333333,0.09879921417816145
D3S04I_S01_FI2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.8166666666666667,0.08057949835755715
D3S04I_S01_FI2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.8166666666666667,0.08057949835755715
D3S04I_S01_FI2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.8166666666666667,0.08057949835755715
D3S09I_S01_FI4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7458333333333333,0.10696248044161197
D3S09I_S01_FI4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7458333333333333,0.10696248044161197
D3S09I_S01_FI4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7458333333333333,0.10696248044161197
D3S12I_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.6875,0.1152443057161611
D3S12I_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6875,0.1152443057161611
D3S12I_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6875,0.1152443057161611
D3S07I_S01_FI4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7958333333333333,0.0789470638395684
D3S07I_S01_FI4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7958333333333333,0.0789470638395684
D3S07I_S01_FI4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7958333333333333,0.0789470638395684
D3S06I_S01_FI2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.5645833333333333,0.14656068614134632
D3S06I_S01_FI2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.5645833333333333,0.14656068614134632
D3S06I_S01_FI2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.5645833333333333,0.14656068614134632
D3S09I_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.75625,0.11221027507912693
D3S09I_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.75625,0.11221027507912693
D3S09I_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.75625,0.11221027507912693
D3S05I_S01_NF2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7,0.1243734296383275
D3S05I_S01_NF2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7,0.1243734296383275
D3S05I_S01_NF2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7,0.1243734296383275
D3S04I_S01_FI4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.8104166666666667,0.09879921417816147
D3S04I_S01_FI4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.8104166666666667,0.09879921417816147
D3S04I_S01_FI4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.8104166666666667,0.09879921417816147
